director_actor,movie_count
Mez Tharatorn/Sananthachat Thanapatpisal,1
Mez Tharatorn/Pongkool Suebsung,1
Mez Tharatorn/Puttachat Pongsuchat,2
Mez Tharatorn/Gornpop Janjaroen,1
Mez Tharatorn/Yanee Tramoth,1
Mez Tharatorn/Pongsatorn Jongwilak,1
Adisorn Tresirikasem/Theeradej Wongpuapan,1
Adisorn Tresirikasem/Sirin Horwang,1
Adisorn Tresirikasem/Ungsumalynn Sirapatsakmetha,1
Adisorn Tresirikasem/Panissara Phimpru,1
Adisorn Tresirikasem/Taksaorn Paksukcharern,1
Adisorn Tresirikasem/Charlie Trairat,1
Adisorn Tresirikasem/Kazuki Yano,1
Mez Tharatorn/Sunny Suwanmethanont,1
Mez Tharatorn/Sora Aoi,1
Mez Tharatorn/Popetorn Soonthornyanakij,1
Banjong Pisanthanakun/Chantavit Dhanasevi,1
Banjong Pisanthanakun/Nittha Jirayungyurn,1
Banjong Pisanthanakun/Theerapat Sajakul,1
Banjong Pisanthanakun/Prim Bulakul,1
Banjong Pisanthanakun/Kris Srepoomseth,1
Banjong Pisanthanakun/Somyos Matures,1
Banjong Pisanthanakun/Sutthatip Wutichaipradit,1
Banjong Pisanthanakun/Rermthon Kemapech,1
Banjong Pisanthanakun/Kaz Sawamura,1
Banjong Pisanthanakun/Jirayu La-ongmanee,1
Banjong Pisanthanakun/Charlie Trairat,1
Banjong Pisanthanakun/Worrawech Danuwong,1
Banjong Pisanthanakun/Marsha Wattanapanich,1
Banjong Pisanthanakun/Nicole Theriault,1
Banjong Pisanthanakun/Chumphorn Thepphithak,1
Banjong Pisanthanakun/Gacha Plienwithi,1
Banjong Pisanthanakun/Suteerush Channukool,1
Banjong Pisanthanakun/Peeratchai Roompol,1
Banjong Pisanthanakun/Nattapong Chartpong,2
Paween Purikitpanya/Jirayu La-ongmanee,1
Paween Purikitpanya/Charlie Trairat,1
Paween Purikitpanya/Worrawech Danuwong,1
Paween Purikitpanya/Marsha Wattanapanich,1
Paween Purikitpanya/Nicole Theriault,1
Paween Purikitpanya/Chumphorn Thepphithak,1
Paween Purikitpanya/Gacha Plienwithi,1
Paween Purikitpanya/Suteerush Channukool,1
Paween Purikitpanya/Peeratchai Roompol,1
Paween Purikitpanya/Nattapong Chartpong,1
Songyos Sugmakanan/Jirayu La-ongmanee,1
Songyos Sugmakanan/Charlie Trairat,1
Songyos Sugmakanan/Worrawech Danuwong,1
Songyos Sugmakanan/Marsha Wattanapanich,1
Songyos Sugmakanan/Nicole Theriault,1
Songyos Sugmakanan/Chumphorn Thepphithak,1
Songyos Sugmakanan/Gacha Plienwithi,1
Songyos Sugmakanan/Suteerush Channukool,1
Songyos Sugmakanan/Peeratchai Roompol,1
Songyos Sugmakanan/Nattapong Chartpong,1
Parkpoom Wongpoom/Jirayu La-ongmanee,1
Parkpoom Wongpoom/Charlie Trairat,1
Parkpoom Wongpoom/Worrawech Danuwong,1
Parkpoom Wongpoom/Marsha Wattanapanich,1
Parkpoom Wongpoom/Nicole Theriault,1
Parkpoom Wongpoom/Chumphorn Thepphithak,1
Parkpoom Wongpoom/Gacha Plienwithi,1
Parkpoom Wongpoom/Suteerush Channukool,1
Parkpoom Wongpoom/Peeratchai Roompol,1
Parkpoom Wongpoom/Nattapong Chartpong,1
Visute Poolvoralaks/Jirayu La-ongmanee,1
Visute Poolvoralaks/Charlie Trairat,1
Visute Poolvoralaks/Worrawech Danuwong,1
Visute Poolvoralaks/Marsha Wattanapanich,1
Visute Poolvoralaks/Nicole Theriault,1
Visute Poolvoralaks/Chumphorn Thepphithak,1
Visute Poolvoralaks/Gacha Plienwithi,1
